Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Total Risk
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,28.38235294117647
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,23.937908496732028
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,26.299019607843135
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,21.854575163398692
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,26.07323232323232
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,20.844474153297682
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,23.98989898989899
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,18.761140819964346
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,27.78891859774213
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,22.56016042780749
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,25.705585264408793
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,20.476827094474153
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,28.194444444444443
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,22.965686274509803
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,26.111111111111107
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,20.882352941176467
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,29.910130718954246
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,24.681372549019606
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,27.826797385620914
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,22.598039215686274
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,26.48989898989899
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,21.26114081996435
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,24.17105841018884
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,18.942300240254202
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,28.205585264408793
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,22.976827094474153
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,25.886744684698648
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,20.65798651476401
