index,start_ms,end_ms,duration_ms
239,7552810.775,7552820.655,9.880
240,7552820.655,7552830.499,9.843
241,7552830.499,7552840.381,9.882
242,7552840.382,7552850.279,9.898
243,7552850.280,7552860.160,9.880
244,7552860.160,7552870.020,9.860
245,7552870.020,7552879.970,9.949
246,7552879.970,7552889.875,9.905
247,7552889.875,7552899.750,9.875
248,7552899.750,7552909.593,9.843
249,7552909.593,7552919.469,9.875
250,7552919.470,7552929.366,9.896
251,7552929.366,7552939.247,9.881
252,7552939.247,7552949.091,9.844
253,7552949.091,7552958.975,9.884
254,7552958.975,7552968.914,9.938
255,7552968.914,7552978.789,9.875
256,7552978.790,7552988.642,9.852
257,7552988.642,7552998.530,9.888
258,7552998.531,7553008.437,9.906
259,7553008.437,7553018.326,9.889
260,7553018.326,7553028.170,9.843
261,7553028.170,7553038.073,9.903
262,7553038.108,7553048.107,9.999
263,7553048.107,7553057.984,9.876
264,7553057.984,7553067.921,9.937
265,7553067.922,7553077.819,9.897
266,7553077.819,7553087.718,9.899
267,7553087.718,7553097.601,9.883
268,7553097.601,7553107.445,9.844
269,7553107.446,7553117.313,9.867
270,7553117.313,7553127.207,9.894
271,7553127.208,7553137.099,9.892
272,7553137.100,7553146.947,9.847
273,7553146.947,7553156.807,9.860
274,7553156.808,7553166.714,9.906
275,7553166.714,7553176.603,9.889
276,7553176.604,7553186.452,9.848
277,7553186.452,7553196.307,9.854
278,7553196.307,7553206.197,9.889
279,7553206.197,7553216.098,9.901
280,7553216.098,7553225.938,9.840
281,7553225.938,7553235.800,9.862
282,7553235.800,7553245.689,9.889
283,7553245.689,7553255.587,9.897
284,7553255.587,7553265.436,9.849
285,7553265.437,7553275.285,9.848
286,7553275.285,7553285.180,9.895
287,7553285.181,7553295.080,9.900
288,7553295.081,7553304.964,9.883
289,7553304.964,7553314.884,9.919
290,7553314.884,7553324.797,9.913
291,7553324.797,7553334.701,9.904
292,7553334.702,7553344.592,9.890
293,7553344.592,7553354.477,9.884
294,7553354.477,7553364.360,9.883
295,7553364.361,7553374.260,9.900
296,7553374.261,7553384.114,9.853
297,7553384.114,7553393.983,9.869
298,7553393.983,7553403.907,9.924
299,7553403.908,7553413.872,9.964
300,7553413.873,7553423.742,9.869
301,7553423.742,7553433.595,9.853
302,7553433.596,7553443.487,9.891
303,7553443.487,7553453.458,9.971
304,7553453.459,7553463.325,9.866
305,7553463.325,7553473.181,9.856
306,7553473.181,7553483.083,9.902
307,7553483.084,7553493.029,9.945
308,7553493.030,7553502.905,9.876
