index,start_ms,end_ms,duration_ms
318,7545527.665,7545567.462,39.797
319,7545567.462,7545607.448,39.986
320,7545607.449,7545647.461,40.012
321,7545647.462,7545687.463,40.001
322,7545687.463,7545727.459,39.996
323,7545727.459,7545767.534,40.075
324,7545767.534,7545807.488,39.954
325,7545807.489,7545847.481,39.992
326,7545847.481,7545887.433,39.952
327,7545887.433,7545927.435,40.002
328,7545927.435,7545967.463,40.027
329,7545967.463,7546007.433,39.970
330,7546007.434,7546047.494,40.060
331,7546047.494,7546087.430,39.936
332,7546087.430,7546127.424,39.994
333,7546127.424,7546168.249,40.825
334,7546168.249,7546207.434,39.185
335,7546207.435,7546247.441,40.006
336,7546247.442,7546287.464,40.022
337,7546287.464,7546327.264,39.800
338,7546327.265,7546368.408,41.144
339,7546368.408,7546407.467,39.059
340,7546407.467,7546447.499,40.031
341,7546447.499,7546487.464,39.965
342,7546487.464,7546527.458,39.994
343,7546527.459,7546567.485,40.026
344,7546567.485,7546607.531,40.045
345,7546607.531,7546647.492,39.961
346,7546647.493,7546687.495,40.002
347,7546687.495,7546727.502,40.007
348,7546727.503,7546767.511,40.008
349,7546767.511,7546807.521,40.010
350,7546807.522,7546847.522,40.001
351,7546847.523,7546887.511,39.988
352,7546887.511,7546927.516,40.004
353,7546927.516,7546967.551,40.035
354,7546967.551,7547007.547,39.996
355,7547007.547,7547047.532,39.984
356,7547047.532,7547090.232,42.700
357,7547090.233,7547127.637,37.404
358,7547127.637,7547167.559,39.922
359,7547167.559,7547207.588,40.029
360,7547207.588,7547247.604,40.016
361,7547247.604,7547287.593,39.989
362,7547287.594,7547327.582,39.988
363,7547327.582,7547367.577,39.995
364,7547367.577,7547407.595,40.018
365,7547407.595,7547447.578,39.983
366,7547447.579,7547489.363,41.785
367,7547489.364,7547527.607,38.243
368,7547527.607,7547567.604,39.997
369,7547567.605,7547607.616,40.011
370,7547607.617,7547647.580,39.963
371,7547647.580,7547687.584,40.004
372,7547687.585,7547727.610,40.026
373,7547727.611,7547767.663,40.053
374,7547767.695,7547807.640,39.945
375,7547807.640,7547847.665,40.025
376,7547847.665,7547887.639,39.973
377,7547887.639,7547927.639,40.000
378,7547927.639,7547967.646,40.007
379,7547967.646,7548007.688,40.041
380,7548007.688,7548047.667,39.979
381,7548047.668,7548087.662,39.994
