index,start_ms,end_ms,duration_ms
296,7544646.455,7544686.402,39.947
297,7544686.404,7544726.514,40.110
298,7544726.515,7544766.463,39.948
299,7544766.464,7544806.620,40.156
300,7544806.621,7544846.461,39.840
301,7544846.462,7544886.428,39.966
302,7544886.429,7544926.575,40.146
303,7544926.576,7544966.638,40.063
304,7544966.639,7545006.608,39.969
305,7545006.609,7545046.561,39.952
306,7545046.562,7545086.453,39.891
307,7545086.454,7545126.630,40.176
308,7545126.631,7545166.594,39.964
309,7545166.595,7545206.586,39.991
310,7545206.587,7545246.542,39.955
311,7545246.543,7545286.585,40.042
312,7545286.586,7545326.568,39.982
313,7545326.569,7545366.547,39.978
314,7545366.548,7545406.599,40.051
315,7545406.600,7545446.587,39.987
316,7545446.588,7545486.590,40.002
317,7545486.591,7545526.829,40.238
318,7545526.830,7545566.635,39.805
319,7545566.636,7545606.613,39.977
320,7545606.614,7545646.634,40.020
321,7545646.634,7545686.639,40.004
322,7545686.640,7545726.631,39.991
323,7545726.632,7545766.701,40.069
324,7545766.702,7545806.658,39.956
325,7545806.659,7545846.654,39.996
326,7545846.655,7545886.613,39.958
327,7545886.614,7545926.610,39.996
328,7545926.611,7545966.635,40.024
329,7545966.636,7546006.601,39.966
330,7546006.602,7546046.671,40.069
331,7546046.672,7546086.604,39.932
332,7546086.605,7546126.602,39.997
333,7546126.603,7546167.432,40.829
334,7546167.434,7546206.607,39.173
335,7546206.608,7546246.615,40.007
336,7546246.616,7546286.642,40.026
337,7546286.643,7546326.443,39.799
338,7546326.444,7546367.575,41.131
339,7546367.576,7546406.641,39.065
340,7546406.642,7546446.671,40.029
341,7546446.672,7546486.640,39.968
342,7546486.641,7546526.631,39.991
343,7546526.632,7546566.659,40.026
344,7546566.659,7546606.697,40.038
345,7546606.698,7546646.662,39.963
346,7546646.663,7546686.673,40.011
347,7546686.675,7546726.672,39.997
348,7546726.673,7546766.676,40.003
349,7546766.676,7546806.694,40.018
350,7546806.695,7546846.699,40.003
351,7546846.700,7546886.682,39.982
352,7546886.683,7546926.692,40.009
353,7546926.693,7546966.726,40.034
354,7546966.727,7547006.718,39.991
355,7547006.719,7547046.702,39.983
356,7547046.703,7547089.406,42.703
357,7547089.407,7547126.813,37.406
358,7547126.847,7547166.731,39.884
359,7547166.732,7547206.766,40.035
360,7547206.767,7547246.778,40.011
361,7547246.779,7547286.762,39.984
362,7547286.764,7547326.755,39.991
363,7547326.755,7547366.744,39.989
364,7547366.745,7547406.761,40.016
365,7547406.761,7547446.745,39.984
366,7547446.746,7547488.545,41.799
367,7547488.546,7547526.778,38.232
368,7547526.779,7547566.776,39.997
369,7547566.777,7547606.788,40.011
370,7547606.789,7547646.756,39.967
371,7547646.757,7547686.762,40.005
372,7547686.762,7547726.786,40.024
373,7547726.787,7547766.834,40.047
374,7547766.835,7547806.806,39.971
375,7547806.807,7547846.836,40.028
376,7547846.836,7547886.814,39.977
377,7547886.815,7547926.813,39.998
378,7547926.814,7547966.816,40.002
379,7547966.817,7548006.866,40.049
380,7548006.867,7548046.838,39.971
381,7548046.838,7548086.838,40.000
382,7548086.839,7548126.870,40.031
383,7548126.870,7548166.857,39.986
384,7548166.858,7548207.124,40.266
385,7548207.125,7548246.870,39.745
386,7548246.870,7548286.845,39.975
387,7548286.846,7548326.877,40.031
388,7548326.878,7548366.882,40.003
389,7548366.882,7548407.181,40.299
390,7548407.182,7548446.870,39.688
391,7548446.871,7548486.902,40.031
392,7548486.903,7548526.936,40.033
393,7548526.937,7548566.922,39.985
394,7548566.923,7548606.949,40.026
395,7548606.950,7548647.882,40.932
396,7548647.883,7548686.980,39.097
397,7548686.981,7548726.953,39.971
398,7548726.954,7548767.110,40.156
399,7548767.111,7548806.944,39.833
400,7548806.944,7548846.981,40.036
401,7548846.982,7548886.979,39.998
402,7548886.980,7548926.982,40.002
403,7548926.983,7548967.110,40.127
404,7548967.111,7549007.035,39.924
405,7549007.035,7549047.031,39.995
406,7549047.031,7549086.981,39.950
407,7549086.982,7549127.131,40.148
408,7549127.132,7549167.040,39.908
409,7549167.041,7549207.110,40.069
410,7549207.111,7549247.074,39.963
411,7549247.075,7549287.124,40.048
412,7549287.125,7549328.708,41.583
413,7549328.709,7549367.164,38.455
414,7549367.165,7549407.145,39.980
415,7549407.146,7549447.164,40.018
416,7549447.165,7549487.096,39.931
417,7549487.097,7549528.794,41.697
418,7549528.795,7549567.121,38.326
419,7549567.122,7549607.198,40.076
420,7549607.199,7549647.193,39.995
421,7549647.194,7549687.089,39.894
422,7549687.090,7549727.111,40.022
423,7549727.112,7549767.124,40.011
424,7549767.125,7549807.194,40.069
425,7549807.195,7549846.985,39.791
426,7549846.986,7549883.276,36.290
427,7549883.277,7549923.274,39.997
428,7549923.275,7549967.209,43.935
429,7549967.210,7550003.213,36.003
430,7550003.214,7550043.270,40.055
431,7550043.270,7550087.255,43.984
432,7550087.256,7550123.213,35.957
433,7550123.214,7550163.216,40.002
434,7550163.217,7550209.493,46.276
435,7550209.494,7550243.216,33.723
436,7550243.218,7550287.181,43.964
437,7550287.182,7550327.254,40.072
438,7550327.255,7550367.191,39.936
439,7550367.192,7550407.229,40.037
440,7550407.230,7550447.294,40.064
441,7550447.295,7550487.327,40.032
442,7550487.328,7550523.282,35.953
443,7550523.283,7550563.353,40.070
444,7550563.354,7550603.411,40.057
445,7550603.412,7550643.366,39.954
446,7550643.367,7550683.418,40.051
447,7550683.420,7550723.404,39.984
448,7550723.405,7550763.658,40.253
449,7550763.659,7550803.419,39.759
450,7550803.419,7550843.362,39.943
451,7550843.363,7550883.269,39.906
452,7550883.270,7550923.310,40.040
453,7550923.311,7550963.418,40.107
454,7550963.419,7551003.398,39.979
455,7551003.399,7551043.611,40.212
456,7551043.612,7551083.794,40.183
457,7551083.795,7551123.423,39.628
458,7551123.425,7551164.620,41.195
459,7551164.621,7551203.519,38.898
460,7551203.520,7551243.559,40.039
461,7551243.560,7551283.464,39.904
462,7551283.465,7551323.455,39.990
463,7551323.456,7551364.715,41.259
464,7551364.716,7551403.416,38.700
465,7551403.417,7551443.473,40.056
466,7551443.474,7551483.418,39.944
467,7551483.419,7551523.442,40.022
468,7551523.443,7551563.385,39.942
469,7551563.386,7551603.469,40.082
470,7551603.470,7551643.467,39.998
471,7551643.468,7551683.458,39.990
472,7551683.459,7551723.769,40.310
473,7551723.770,7551763.584,39.814
474,7551763.584,7551803.464,39.879
475,7551803.464,7551843.608,40.144
476,7551843.609,7551883.496,39.887
477,7551883.497,7551923.506,40.009
478,7551923.508,7551963.513,40.006
479,7551963.514,7552003.546,40.032
480,7552003.547,7552043.572,40.025
481,7552043.573,7552083.762,40.188
482,7552083.763,7552123.555,39.792
483,7552123.556,7552163.765,40.209
484,7552163.765,7552203.619,39.853
485,7552203.620,7552243.555,39.935
486,7552243.588,7552283.666,40.077
487,7552283.667,7552323.565,39.898
488,7552323.566,7552363.694,40.128
489,7552363.694,7552403.749,40.055
490,7552403.750,7552443.769,40.019
491,7552443.770,7552483.922,40.152
492,7552483.923,7552523.641,39.718
493,7552523.642,7552563.678,40.036
494,7552563.679,7552603.697,40.018
495,7552603.698,7552647.737,44.039
496,7552647.737,7552689.432,41.695
497,7552689.433,7552727.683,38.250
498,7552727.684,7552767.653,39.969
499,7552767.654,7552803.688,36.034
500,7552803.688,7552843.693,40.004
501,7552843.694,7552883.909,40.215
502,7552883.910,7552923.598,39.688
503,7552923.599,7552963.632,40.033
504,7552963.633,7553003.619,39.986
505,7553003.619,7553043.639,40.019
506,7553043.640,7553083.659,40.018
507,7553083.660,7553123.652,39.992
508,7553123.653,7553163.609,39.956
509,7553163.610,7553204.235,40.625
510,7553204.236,7553243.647,39.411
511,7553243.648,7553283.650,40.002
512,7553283.651,7553323.784,40.133
513,7553323.784,7553363.654,39.870
514,7553363.656,7553404.308,40.652
515,7553404.309,7553443.664,39.355
516,7553443.665,7553483.723,40.059
517,7553483.724,7553527.741,44.017
518,7553527.742,7553563.767,36.025
519,7553563.768,7553603.797,40.030
520,7553603.798,7553643.781,39.983
521,7553643.782,7553683.697,39.915
522,7553683.699,7553723.788,40.090
523,7553723.789,7553767.686,43.897
524,7553767.687,7553803.722,36.035
525,7553803.723,7553843.858,40.135
526,7553843.859,7553887.748,43.889
527,7553887.749,7553923.802,36.053
528,7553923.803,7553963.807,40.004
529,7553963.808,7554003.757,39.950
530,7554003.758,7554043.799,40.041
531,7554043.800,7554083.879,40.079
532,7554083.879,7554124.095,40.216
533,7554124.096,7554164.132,40.036
534,7554164.133,7554204.122,39.988
535,7554204.123,7554248.377,44.254
536,7554248.378,7554288.301,39.922
537,7554288.301,7554328.311,40.009
538,7554328.312,7554368.378,40.066
539,7554368.379,7554408.657,40.278
540,7554408.658,7554448.714,40.056
541,7554448.715,7554488.694,39.979
542,7554488.695,7554530.518,41.823
543,7554530.519,7554568.805,38.286
544,7554568.806,7554608.932,40.126
545,7554608.932,7554649.174,40.241
546,7554649.175,7554689.123,39.948
547,7554689.124,7554730.723,41.599
548,7554730.724,7554768.990,38.267
549,7554768.991,7554809.129,40.138
550,7554809.130,7554849.146,40.016
551,7554849.147,7554889.611,40.464
552,7554889.612,7554929.116,39.504
553,7554929.117,7554969.506,40.389
554,7554969.508,7555009.089,39.581
555,7555009.090,7555049.117,40.027
556,7555049.118,7555089.038,39.920
557,7555089.039,7555129.350,40.310
558,7555129.351,7555168.965,39.614
559,7555168.965,7555208.898,39.932
560,7555208.898,7555248.824,39.926
561,7555248.825,7555288.799,39.974
562,7555288.800,7555328.759,39.959
563,7555328.761,7555368.715,39.954
564,7555368.716,7555408.756,40.040
565,7555408.757,7555448.786,40.029
566,7555448.787,7555488.752,39.965
567,7555488.753,7555528.668,39.915
568,7555528.669,7555564.975,36.306
569,7555564.976,7555608.796,43.820
570,7555608.797,7555648.911,40.114
571,7555648.912,7555688.985,40.073
572,7555688.986,7555729.105,40.118
573,7555729.106,7555769.149,40.044
574,7555769.151,7555809.157,40.006
575,7555809.158,7555849.434,40.276
576,7555849.435,7555889.668,40.233
577,7555889.669,7555929.368,39.699
578,7555929.369,7555969.449,40.080
579,7555969.450,7556009.353,39.903
580,7556009.354,7556049.214,39.859
581,7556049.215,7556089.262,40.047
582,7556089.263,7556129.275,40.012
583,7556129.276,7556169.381,40.105
584,7556169.383,7556209.438,40.055
585,7556209.438,7556249.436,39.998
586,7556249.437,7556289.313,39.875
587,7556289.314,7556329.329,40.015
588,7556329.331,7556369.238,39.908
589,7556369.239,7556405.382,36.142
590,7556405.383,7556445.514,40.131
591,7556445.515,7556489.460,43.944
592,7556489.461,7556529.261,39.801
593,7556529.263,7556570.409,41.146
594,7556570.409,7556609.338,38.929
595,7556609.339,7556649.295,39.956
596,7556649.296,7556689.833,40.536
597,7556689.834,7556729.630,39.796
598,7556729.630,7556770.415,40.785
599,7556770.416,7556809.395,38.978
600,7556809.396,7556849.624,40.228
601,7556849.626,7556889.180,39.554
602,7556889.181,7556929.363,40.182
603,7556929.364,7556969.405,40.040
604,7556969.406,7557009.398,39.992
605,7557009.399,7557049.391,39.992
606,7557049.392,7557089.635,40.242
607,7557089.636,7557129.564,39.928
608,7557129.565,7557169.485,39.920
609,7557169.486,7557209.301,39.815
610,7557209.302,7557245.302,36.001
611,7557245.303,7557285.374,40.070
612,7557285.375,7557325.243,39.868
613,7557325.245,7557365.049,39.804
614,7557365.108,7557404.726,39.617
615,7557404.727,7557444.411,39.684
616,7557444.412,7557488.420,44.008
617,7557488.421,7557528.616,40.195
618,7557528.617,7557568.689,40.072
619,7557568.690,7557608.764,40.073
620,7557608.764,7557648.511,39.746
621,7557648.512,7557688.576,40.064
622,7557688.577,7557728.602,40.025
623,7557728.603,7557768.562,39.959
624,7557768.564,7557808.519,39.955
625,7557808.519,7557844.537,36.018
626,7557844.538,7557884.984,40.446
627,7557884.985,7557928.556,43.571
628,7557928.557,7557964.576,36.019
629,7557964.577,7558004.683,40.107
630,7558004.684,7558044.797,40.113
631,7558044.799,7558084.504,39.706
632,7558084.505,7558124.518,40.013
633,7558124.520,7558164.620,40.100
634,7558164.621,7558204.639,40.018
635,7558204.640,7558244.598,39.958
636,7558244.599,7558284.565,39.966
637,7558284.566,7558324.526,39.960
638,7558324.528,7558368.529,44.001
639,7558368.529,7558405.187,36.658
640,7558405.188,7558444.574,39.386
641,7558444.575,7558484.665,40.090
642,7558484.667,7558524.589,39.922
643,7558524.590,7558564.666,40.077
644,7558564.667,7558605.281,40.614
645,7558605.282,7558644.545,39.263
646,7558644.546,7558684.629,40.083
647,7558684.630,7558728.685,44.055
648,7558728.686,7558765.134,36.448
649,7558765.135,7558804.673,39.538
650,7558804.674,7558844.792,40.118
651,7558844.793,7558884.610,39.817
652,7558884.611,7558924.617,40.006
653,7558924.618,7558964.635,40.017
654,7558964.636,7559004.643,40.007
655,7559004.644,7559044.677,40.034
656,7559044.678,7559084.717,40.038
657,7559084.718,7559124.638,39.921
658,7559124.640,7559164.609,39.969
659,7559164.610,7559204.596,39.986
660,7559204.597,7559244.886,40.289
661,7559244.887,7559288.730,43.843
662,7559288.731,7559324.631,35.900
663,7559324.632,7559364.680,40.048
664,7559364.681,7559404.624,39.944
665,7559404.625,7559444.709,40.084
666,7559444.710,7559484.744,40.034
667,7559484.745,7559524.756,40.011
668,7559524.757,7559564.817,40.060
669,7559564.818,7559604.895,40.077
670,7559604.896,7559644.785,39.890
671,7559644.786,7559684.763,39.977
672,7559684.764,7559728.744,43.980
673,7559728.745,7559764.750,36.004
674,7559764.750,7559804.764,40.014
675,7559804.765,7559844.744,39.979
676,7559844.745,7559884.771,40.025
677,7559884.772,7559924.754,39.982
678,7559924.755,7559964.749,39.994
679,7559964.750,7560004.683,39.934
680,7560004.684,7560044.709,40.025
681,7560044.710,7560084.738,40.028
682,7560084.739,7560124.710,39.971
683,7560124.711,7560164.743,40.032
684,7560164.744,7560204.747,40.002
685,7560204.748,7560244.741,39.993
686,7560244.741,7560284.773,40.031
687,7560284.773,7560324.675,39.903
688,7560324.676,7560364.723,40.047
689,7560364.724,7560404.651,39.927
690,7560404.652,7560444.935,40.283
691,7560444.935,7560484.757,39.821
692,7560484.758,7560524.886,40.128
693,7560524.887,7560564.980,40.093
694,7560564.981,7560604.763,39.782
695,7560604.764,7560644.886,40.122
696,7560644.887,7560684.812,39.925
697,7560684.813,7560724.844,40.031
698,7560724.844,7560764.836,39.991
699,7560764.837,7560804.798,39.961
700,7560804.799,7560844.775,39.977
701,7560844.776,7560884.840,40.063
702,7560884.840,7560924.734,39.894
703,7560924.735,7560964.758,40.023
704,7560964.760,7561004.773,40.013
705,7561004.773,7561044.850,40.076
706,7561044.851,7561084.827,39.976
707,7561084.828,7561125.526,40.699
708,7561125.528,7561165.627,40.100
709,7561165.628,7561204.847,39.219
710,7561204.848,7561245.066,40.218
711,7561245.068,7561285.123,40.055
712,7561285.124,7561324.887,39.763
713,7561324.888,7561364.932,40.045
714,7561364.933,7561405.191,40.258
715,7561405.192,7561444.889,39.697
716,7561444.890,7561484.904,40.014
717,7561484.905,7561524.965,40.060
718,7561524.966,7561566.535,41.569
719,7561566.536,7561604.936,38.400
720,7561604.937,7561644.919,39.982
721,7561644.920,7561684.945,40.025
722,7561684.946,7561724.897,39.951
723,7561724.898,7561766.592,41.694
724,7561766.593,7561804.915,38.322
725,7561804.915,7561844.891,39.976
726,7561844.892,7561884.943,40.050
727,7561884.944,7561924.918,39.974
728,7561924.919,7561964.941,40.023
729,7561964.942,7562004.948,40.005
730,7562004.949,7562044.948,39.999
731,7562044.949,7562085.198,40.250
732,7562085.200,7562125.153,39.953
733,7562125.154,7562165.042,39.888
734,7562165.042,7562205.075,40.032
735,7562205.076,7562245.379,40.303
736,7562245.380,7562285.052,39.672
737,7562285.053,7562325.099,40.046
738,7562325.100,7562365.033,39.934
739,7562365.034,7562405.078,40.044
740,7562405.079,7562445.087,40.007
741,7562445.088,7562485.098,40.010
742,7562485.132,7562524.988,39.857
743,7562524.989,7562565.186,40.197
744,7562565.187,7562605.062,39.875
745,7562605.063,7562645.076,40.013
746,7562645.077,7562685.065,39.989
747,7562685.066,7562725.580,40.513
748,7562725.581,7562765.125,39.544
749,7562765.126,7562805.082,39.956
750,7562805.083,7562845.067,39.984
751,7562845.068,7562885.071,40.004
752,7562885.073,7562925.121,40.049
753,7562925.123,7562965.583,40.460
754,7562965.584,7563005.189,39.605
755,7563005.190,7563045.183,39.993
756,7563045.184,7563085.235,40.051
757,7563085.236,7563125.283,40.047
758,7563125.284,7563165.227,39.943
759,7563165.228,7563205.318,40.090
760,7563205.319,7563245.270,39.952
761,7563245.272,7563285.283,40.011
762,7563285.284,7563325.379,40.095
763,7563325.380,7563365.189,39.810
764,7563365.190,7563405.209,40.019
765,7563405.210,7563445.199,39.988
766,7563445.200,7563485.258,40.058
767,7563485.259,7563525.207,39.948
768,7563525.208,7563565.191,39.983
769,7563565.192,7563606.071,40.879
770,7563606.072,7563645.297,39.225
771,7563645.298,7563685.193,39.896
772,7563685.194,7563725.238,40.044
773,7563725.239,7563765.270,40.031
